cluster id,user id
1,3185286
0,3198738
0,4396150
1,5638709
0,6258725
1,7542749
2,8685800
0,10682767
0,11209053
0,11381737
1,11382474
1,11385589
1,11405163
0,11407214
1,11615808
0,11686401
0,11764856
1,11776687
1,11817705
0,11863087
1,11888112
2,11899953
1,11913213
0,11932916
0,11969892
0,13831471
1,14092396
1,15044247
1,15603897
1,15604417
1,15719564
2,15916291
1,16010095
1,17456436
0,18461474
1,18524205
0,18922232
0,19103096
1,19556365
1,19558289
0,20162872
0,20260339
0,20387421
0,20722395
1,20757153
0,21235938
2,21937630
0,22071696
0,22136774
1,22298983
2,22368716
2,22850074
2,22850075
0,22850084
1,22850106
0,22850109
2,22850121
0,22850136
1,22850177
0,22850235
0,22850298
2,22850355
1,22850502
0,22850531
1,22850542
0,22850590
1,22850595
2,22850817
0,22850911
1,22850958
0,22851025
0,22851258
0,22851296
0,22851301
0,22851445
1,22851474
0,22851525
2,22851593
2,22851664
0,22851681
0,22851714
1,22851736
0,22851744
0,22851757
0,22851777
1,22851876
2,22851902
2,22851949
0,22852086
0,22852517
1,22852637
0,22852678
0,22852816
0,22852834
2,22852860
0,22853320
1,22853418
0,22853513
1,22853622
2,22853626
0,22853670
2,22853789
1,22853821
2,22854375
0,22854388
1,22854389
1,22854502
0,22854564
0,22854604
0,22854633
1,22854679
0,22854891
0,22854917
1,22854969
1,22855013
1,22855139
2,22855176
0,22855182
0,22855186
2,22855232
2,22855361
0,22855366
1,22855392
2,22855438
2,22855491
1,22855511
0,22855575
0,22855577
0,22855588
0,22855678
1,22855679
1,22855683
0,22855693
0,22855757
1,22855791
0,22856019
0,22856027
0,22856039
0,22856073
1,22856155
2,22856177
0,22856184
0,22856213
0,22856220
0,22856227
0,22856228
0,22856237
1,22856273
1,22856294
2,22856350
1,22856354
0,22856366
0,22856446
0,22856466
0,22856473
0,22856497
2,22856528
0,22856572
1,22856578
1,22856637
1,22856730
1,22856815
2,22856849
0,22856931
0,22857042
0,22857180
0,22857219
1,22857301
1,22857335
0,22857398
0,22857549
1,22857573
0,22857661
1,22857747
1,22857837
0,22857843
0,22858105
0,22858192
0,22858690
0,22859033
1,22859250
2,22859334
0,22860074
0,22860165
2,22860435
0,22860715
2,22862565
1,22866133
2,22877758
1,22878634
1,22880621
1,22882512
0,22883218
1,22883254
0,22884496
0,22884602
0,22884842
0,22885048
0,22885323
2,22886094
0,22886186
1,22886492
1,22886652
0,22886946
0,22887025
1,22887498
0,22887794
1,22888374
0,22889201
0,22889244
0,22889675
0,22890823
1,22890827
2,22891963
2,22899445
2,22899628
0,22900204
1,22900214
1,22900437
0,22900463
1,22900468
1,22900626
2,22900813
0,22900977
2,22901385
0,22901585
1,22901783
2,22901966
2,22902417
0,22902623
0,22903543
1,22905304
0,22906796
0,22908148
2,22909863
0,22913375
0,22916934
0,22924037
1,22928179
1,22930920
1,23023961
